region,price,price per sq mtr,rooms,size,rent
Blekingsborg,1450000, 26852 ,2.0,54.0, 3618 
Ribersborg,3070000, 37439 ,3.0,82.0, 4561 
S:t Knut,2250000, 40909 ,2.5,55.0, 3026 
Ellstorp,1440000, 20000 ,3.0,72.0, 4721 
Kirseberg,910000, 17670 ,2.0,51.5, 3875 
Oxie,1525000, 23643 ,2.0,64.5, 4114 
Kulladal,1295000, 20887 ,2.0,62.0, 3444 
Kirseberg,635000, 22281 ,1.0,28.5, 2421 
Dammfri,2950000, 39597 ,3.0,74.5, 3114 
Midhem,1310000, 23145 ,2.5,56.6, 2850 
Oxie,1050000, 12069 ,3.0,87.0, 5934 
Almvik,1475000, 19667 ,3.0,75.0, 5426 
Davidshall/Operan,2600000, 45614 ,2.0,57.0, 3360 
Borgmästaregården,1870000, 25270 ,3.0,74.0, 3938 
Rosengård,795000, 12927 ,2.0,61.5, 4085 
Oxie,1895000,price not specified,4.0,112.0, 4689 
Rosengård,820000, 13333 ,2.0,61.5, 4120 
Lindeborg,2230000, 28408 ,3.0,78.5, 4259 
Gamla Väster,3195000, 53250 ,2.0,60.0, 3089 
Davidshall,3900000, 45882 ,3.0,85.0, 4468 
Västra Hamnen,2995000, 42786 ,3.0,70.0, 4315 
Slottsstaden,2850000, 40714 ,2.0,70.0, 3656 
Rörsjöstaden,3400000, 40476 ,3.0,84.0, 4370 
Dockan,2800000, 56000 ,2.0,50.0, 2941 
Rostorp,1175000, 22860 ,2.0,51.4, 1929 
Rörsjöstaden,4100000, 51250 ,3.0,80.0, 4949 
Västra Hamnen,2220000, 46250 ,2.0,48.0, 2962 
Limhamn,2100000, 63636 ,1.0,33.0, 2588 
Gamla Väster,7100000, 48299 ,5.5,147.0, 7599 
Husie,2125000, 20047 ,4.0,106.0, 5253 
Slottsstaden,3900000, 38614 ,3.0,101.0, 4932 
Segevång,1050000, 19266 ,2.0,54.5, 3524 
Blekingsborg,1420000, 22903 ,2.5,62.0, 3816 
Nobeltorget,1575000, 29717 ,2.0,53.0, 2963 
Hyllie,2795000, 34506 ,3.0,81.0, 4565 
Hyllie,3495000, 31773 ,4.5,110.0, 5818 
Dammfri,2050000, 29286 ,3.0,70.0, 4309 
Slottsstaden,1295000, 44655 ,1.0,29.0, 2443 
Hyllie,1895000, 43068 ,2.0,44.0, 2010 
Söderkulla,1900000, 21348 ,4.0,89.0, 4429 
Nydala,1600000, 17486 ,4.0,91.5, 4972 
Kirseberg,1100000, 19469 ,2.0,56.5, 4124 
Annelund,930000, 17547 ,2.0,53.0, 3979 
Högaholm,660000, 13750 ,1.0,48.0, 3297 
Nobeltorget,1185000, 28902 ,1.5,41.0, 2565 
Persborg/västra Kattarp,1210000, 16242 ,3.0,74.5, 3974 
